anno,macroarea,fascia_eta,correlazione,pvalue,significativo,mese_picco
2015,centro,50_64,"-0,51","0,0899",False,gennaio
2015,centro,65_79,"-0,685","0,0139",True,gennaio
2015,centro,80_plus,"-0,664","0,0185",True,gennaio
2015,centro,0_49,"-0,231","0,4705",False,febbraio
2015,isole,50_64,"-0,385","0,2161",False,gennaio
2015,isole,65_79,"-0,706","0,0102",True,marzo
2015,isole,80_plus,"-0,657","0,0202",True,marzo
2015,isole,0_49,"-0,137","0,6721",False,marzo
2015,nord,50_64,"-0,571","0,0525",False,gennaio
2015,nord,65_79,"-0,438","0,1546",False,gennaio
2015,nord,80_plus,"-0,51","0,0899",False,gennaio
2015,nord,0_49,"-0,277","0,3839",False,luglio
2015,sud,50_64,"-0,769","0,0034",True,gennaio
2015,sud,65_79,"-0,497","0,1006",False,gennaio
2015,sud,80_plus,"-0,601","0,0386",True,gennaio
2015,sud,0_49,"-0,273","0,3911",False,luglio
2016,centro,50_64,"0,088","0,7863",False,dicembre
2016,centro,65_79,"-0,294","0,3541",False,marzo
2016,centro,80_plus,"-0,133","0,6806",False,dicembre
2016,centro,0_49,"0,179","0,5786",False,agosto
2016,isole,50_64,"-0,493","0,1034",False,gennaio
2016,isole,65_79,"-0,545","0,0666",False,marzo
2016,isole,80_plus,"-0,524","0,08",False,marzo
2016,isole,0_49,"-0,088","0,7867",False,agosto
2016,nord,50_64,"-0,538","0,0709",False,gennaio
2016,nord,65_79,"-0,385","0,217",False,marzo
2016,nord,80_plus,"-0,112","0,7292",False,dicembre
2016,nord,0_49,"-0,035","0,9139",False,maggio
2016,sud,50_64,"-0,524","0,08",False,febbraio
2016,sud,65_79,"-0,336","0,2861",False,gennaio
2016,sud,80_plus,"-0,21","0,5128",False,dicembre
2016,sud,0_49,"-0,095","0,7696",False,marzo
2017,centro,50_64,"-0,503","0,0952",False,gennaio
2017,centro,65_79,"-0,462","0,1309",False,gennaio
2017,centro,80_plus,"-0,42","0,1745",False,gennaio
2017,centro,0_49,"-0,197","0,539",False,marzo
2017,isole,50_64,"-0,375","0,23",False,gennaio
2017,isole,65_79,"-0,424","0,1698",False,gennaio
2017,isole,80_plus,"-0,497","0,1006",False,gennaio
2017,isole,0_49,"-0,077","0,8119",False,agosto
2017,nord,50_64,"-0,462","0,1309",False,gennaio
2017,nord,65_79,"-0,427","0,1667",False,gennaio
2017,nord,80_plus,"-0,42","0,1745",False,gennaio
2017,nord,0_49,"-0,053","0,8712",False,agosto
2017,sud,50_64,"-0,182","0,5717",False,gennaio
2017,sud,65_79,"-0,406","0,1908",False,gennaio
2017,sud,80_plus,"-0,455","0,1377",False,gennaio
2017,sud,0_49,"-0,116","0,7206",False,luglio
2018,centro,50_64,"-0,378","0,2262",False,gennaio
2018,centro,65_79,"-0,382","0,2198",False,gennaio
2018,centro,80_plus,"-0,238","0,4568",False,gennaio
2018,centro,0_49,"-0,224","0,4845",False,marzo
2018,isole,50_64,"-0,643","0,024",True,gennaio
2018,isole,65_79,"-0,587","0,0446",True,gennaio
2018,isole,80_plus,"-0,524","0,08",False,gennaio
2018,isole,0_49,"-0,294","0,3541",False,marzo
2018,nord,50_64,"-0,573","0,0513",False,gennaio
2018,nord,65_79,"-0,448","0,1446",False,gennaio
2018,nord,80_plus,"-0,336","0,2861",False,gennaio
2018,nord,0_49,"-0,252","0,4299",False,agosto
2018,sud,50_64,"-0,573","0,0513",False,gennaio
2018,sud,65_79,"-0,441","0,1517",False,gennaio
2018,sud,80_plus,"-0,364","0,2453",False,gennaio
2018,sud,0_49,"-0,175","0,5868",False,marzo
2019,centro,50_64,"-0,811","0,0014",True,gennaio
2019,centro,65_79,"-0,839","0,0006",True,gennaio
2019,centro,80_plus,"-0,748","0,0051",True,gennaio
2019,centro,0_49,"-0,326","0,3006",False,marzo
2019,isole,50_64,"-0,764","0,0039",True,gennaio
2019,isole,65_79,"-0,811","0,0014",True,gennaio
2019,isole,80_plus,"-0,76","0,0041",True,gennaio
2019,isole,0_49,"-0,077","0,8122",False,luglio
2019,nord,50_64,"-0,476","0,1182",False,gennaio
2019,nord,65_79,"-0,434","0,1591",False,gennaio
2019,nord,80_plus,"-0,35","0,2652",False,gennaio
2019,nord,0_49,"-0,049","0,8797",False,luglio
2019,sud,50_64,"-0,531","0,0754",False,gennaio
2019,sud,65_79,"-0,657","0,0202",True,gennaio
2019,sud,80_plus,"-0,671","0,0168",True,gennaio
2019,sud,0_49,"-0,375","0,23",False,marzo
2020,centro,50_64,"0,294","0,3541",False,novembre
2020,centro,65_79,"0,147","0,6488",False,novembre
2020,centro,80_plus,"0,231","0,4705",False,novembre
2020,centro,0_49,"0,287","0,3663",False,novembre
2020,isole,50_64,"0,56","0,0581",False,novembre
2020,isole,65_79,"0,161","0,6175",False,novembre
2020,isole,80_plus,"0,168","0,6021",False,dicembre
2020,isole,0_49,"0,413","0,1826",False,febbraio
2020,nord,50_64,"-0,07","0,829",False,marzo
2020,nord,65_79,"-0,035","0,9141",False,marzo
2020,nord,80_plus,"-0,056","0,8629",False,marzo
2020,nord,0_49,"0,214","0,5049",False,marzo
2020,sud,50_64,"0,168","0,6021",False,novembre
2020,sud,65_79,"0,182","0,5717",False,novembre
2020,sud,80_plus,"0,014","0,9656",False,novembre
2020,sud,0_49,"0,566","0,0548",False,novembre
2021,centro,50_64,"-0,629","0,0283",True,marzo
2021,centro,65_79,"-0,566","0,0548",False,gennaio
2021,centro,80_plus,"-0,385","0,217",False,gennaio
2021,centro,0_49,"0,333","0,2897",False,aprile
2021,isole,50_64,"-0,126","0,6967",False,agosto
2021,isole,65_79,"-0,329","0,2969",False,gennaio
2021,isole,80_plus,"-0,35","0,2652",False,gennaio
2021,isole,0_49,"0,343","0,2756",False,agosto
2021,nord,50_64,"-0,51","0,0899",False,gennaio
2021,nord,65_79,"-0,497","0,1006",False,marzo
2021,nord,80_plus,"-0,273","0,3911",False,gennaio
2021,nord,0_49,"0,524","0,08",False,maggio
2021,sud,50_64,"-0,678","0,0153",True,marzo
2021,sud,65_79,"-0,538","0,0709",False,marzo
2021,sud,80_plus,"-0,49","0,1063",False,gennaio
2021,sud,0_49,"0,102","0,7534",False,agosto
2022,centro,50_64,"-0,21","0,5128",False,gennaio
2022,centro,65_79,"-0,392","0,2081",False,gennaio
2022,centro,80_plus,"-0,35","0,2652",False,gennaio
2022,centro,0_49,"0,081","0,8035",False,marzo
2022,isole,50_64,"-0,643","0,024",True,gennaio
2022,isole,65_79,"-0,692","0,0126",True,gennaio
2022,isole,80_plus,"-0,671","0,0168",True,gennaio
2022,isole,0_49,"-0,175","0,5862",False,luglio
2022,nord,50_64,"-0,035","0,9141",False,gennaio
2022,nord,65_79,"-0,14","0,6646",False,gennaio
2022,nord,80_plus,"0,084","0,7954",False,dicembre
2022,nord,0_49,"0,571","0,0525",False,luglio
2022,sud,50_64,"-0,35","0,2652",False,gennaio
2022,sud,65_79,"-0,469","0,1245",False,gennaio
2022,sud,80_plus,"-0,517","0,0849",False,gennaio
2022,sud,0_49,"0,224","0,4845",False,luglio
2023,centro,50_64,"-0,35","0,2652",False,dicembre
2023,centro,65_79,"-0,133","0,6806",False,dicembre
2023,centro,80_plus,"-0,287","0,3663",False,gennaio
2023,centro,0_49,"0,196","0,5419",False,dicembre
2023,isole,50_64,"-0,126","0,6967",False,luglio
2023,isole,65_79,"-0,294","0,3541",False,gennaio
2023,isole,80_plus,"-0,51","0,0899",False,gennaio
2023,isole,0_49,"0,189","0,5567",False,luglio
2023,nord,50_64,"0,273","0,3911",False,dicembre
2023,nord,65_79,"0,014","0,9656",False,dicembre
2023,nord,80_plus,"0,007","0,9828",False,dicembre
2023,nord,0_49,"0,368","0,2395",False,dicembre
2023,sud,50_64,"-0,315","0,3191",False,dicembre
2023,sud,65_79,"-0,301","0,3423",False,gennaio
2023,sud,80_plus,"-0,378","0,2262",False,gennaio
2023,sud,0_49,"-0,095","0,77",False,febbraio
2024,centro,50_64,"0,004","0,9914",False,gennaio
2024,centro,65_79,"0,07","0,829",False,gennaio
2024,centro,80_plus,"0,175","0,5868",False,gennaio
2024,centro,0_49,"0,074","0,8203",False,marzo
2024,isole,50_64,"-0,235","0,462",False,gennaio
2024,isole,65_79,"-0,42","0,1745",False,gennaio
2024,isole,80_plus,"-0,231","0,4705",False,gennaio
2024,isole,0_49,"0,252","0,4291",False,aprile
2024,nord,50_64,"0,245","0,4433",False,gennaio
2024,nord,65_79,"0,336","0,2861",False,gennaio
2024,nord,80_plus,"0,252","0,4299",False,gennaio
2024,nord,0_49,"0,112","0,7292",False,agosto
2024,sud,50_64,"-0,231","0,4697",False,gennaio
2024,sud,65_79,"-0,112","0,7292",False,gennaio
2024,sud,80_plus,"-0,056","0,8629",False,gennaio
2024,sud,0_49,"0,266","0,4038",False,agosto
